event,slug,start_date,sponsor,prize_usd
Open Agents,openagents,2026-05-06,0G,15000
Open Agents,openagents,2026-05-06,Uniswap Foundation,5000
Open Agents,openagents,2026-05-06,Gensyn,5000
Open Agents,openagents,2026-05-06,ENS,5000
Open Agents,openagents,2026-05-06,KeeperHub,5000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,World,20000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,0G,15000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Arc,15000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Hedera,15000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,ENS,10000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Uniswap Foundation,10000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Flare,10000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Ledger,10000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Chainlink,7000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,WalletConnect,5000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Unlink,5000
ETHGlobal Cannes 2026,cannes2026,2026-04-03,Dynamic,5000
HackMoney 2026,hackmoney2026,2026-02-11,Yellow,15000
HackMoney 2026,hackmoney2026,2026-02-11,Uniswap Foundation,10000
HackMoney 2026,hackmoney2026,2026-02-11,Sui,10000
HackMoney 2026,hackmoney2026,2026-02-11,Arc,10000
HackMoney 2026,hackmoney2026,2026-02-11,LI.FI,6000
HackMoney 2026,hackmoney2026,2026-02-11,ENS,5000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,LayerZero,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Pyth Network,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,1inch,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,World,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Uniswap Foundation,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Coinbase Developer Platform,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Filecoin,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Protocol Labs,20000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,EVVM,18250
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Chainlink,15000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Chiliz,10000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Oasis Protocol,10000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Zircuit,10000
ETHGlobal Buenos Aires,buenosaires,2025-11-21,Nethermind,10000
