sponsor,p_present,avg_usd,earmark_category
ENS,0.806,9750,
Uniswap Foundation,0.806,14166,"DeFi lending, perps & collateral"
The Graph,0.75,9166,
Hedera,0.667,9700,
Coinbase Developer Platform,0.667,15416,AI agents & autonomous assistants
Privy,0.667,3916,
Rootstock,0.639,9000,
Polygon,0.639,14000,
Zircuit,0.611,8000,
Circle,0.611,10000,
Flow,0.611,13600,
World,0.611,17500,
1inch,0.611,19500,Cross-chain atomic swaps (1inch Fusion+)
Hyperlane,0.583,10000,
Citrea,0.556,10000,
Saga,0.528,6666,
0G,0.528,7500,
Nethermind,0.5,10600,
Ledger,0.472,8687,
Pyth Network,0.472,16666,
LayerZero,0.472,20000,
Flare Network,0.444,10000,
Chiliz,0.444,10000,
Chainlink,0.444,15000,
Curvegrid,0.417,4000,
Fluence,0.417,5500,
Self,0.417,10000,
Ethereum Foundation,0.417,5500,
Celo,0.417,10000,
Filecoin,0.417,15000,
Walrus,0.389,8333,
Hardhat,0.389,7500,
Artificial Superintelligence Alliance,0.361,10000,
Lit Protocol,0.333,4875,
Aztec,0.333,3750,
Avail,0.306,7333,
XMTP,0.306,8333,
Oasis Protocol,0.278,10000,
Protocol Labs,0.278,20000,
Nillion,0.25,5833,
Dynamic,0.25,9333,
Babylon Labs,0.222,2500,
Octav,0.222,10000,
EVVM,0.222,18250,On-chain trading tools & dev infrastructure
Symbiotic,0.222,10000,
Espresso,0.222,4000,
sqd,0.222,5000,
Yellow,0.222,10000,
Circles,0.222,5000,
Anchorage Digital,0.222,8750,
vlayer,0.222,10000,
Ronin,0.222,5000,
Kadena,0.194,5000,
Autonome,0.194,11250,
Integra,0.194,1000,
Paypal,0.194,10000,
Brevis,0.167,6250,
OpenSea,0.167,10000,
katana,0.167,10000,
Nora,0.167,5000,
Fern,0.167,5000,
Gemini,0.167,5000,
PayPal USD,0.167,10000,
Nodit,0.139,10000,
HashKey Chain,0.139,10000,
Metal,0.139,5000,
Base,0.139,10000,
Arbitrum,0.139,15000,
Self Protocol,0.139,10000,
Marlin,0.111,2500,
ZK Email,0.111,2500,
ETHGlobal,0.111,37500,
t1 Protocol,0.111,2500,
Succinct,0.111,2500,
Aleo,0.111,2500,
Recall Network,0.111,5000,
NEAR Protocol,0.083,5000,
Fhenix,0.083,5000,
Essential,0.083,10000,
Morph,0.083,5000,
Phala Network,0.083,7500,
Neon EVM,0.083,7500,
NounsDAO,0.083,5000,
Chronicle Protocol,0.083,9750,
Sign Protocol,0.083,20000,
Blockless,0.083,1325,
Crestal Network,0.083,1000,
OpSec,0.083,5000,
EigenLayer,0.083,20000,
CoopHive,0.083,1000,
Gaia and Collab.Land,0.083,10000,
AWS,0.083,1000,
Warden Protocol,0.083,5000,
Covalent,0.083,5000,
Arx Research,0.056,5000,
Liquity,0.056,5000,
Capsule,0.056,1000,
Linea,0.056,5000,
Venn,0.056,1000,
PowerLoom,0.056,5000,
Gnosis,0.056,4000,
Axelar,0.056,4000,
Hyperbolic,0.056,1000,
Kinode,0.056,1000,
Euler,0.056,5000,
Web3Auth,0.056,10000,
BitDSM,0.056,7000,
Push Protocol,0.056,10000,
Bitkub,0.056,20000,
Kinto,0.056,20000,
Blockscout,0.056,20000,
Biconomy,0.056,8000,
Mina Protocol,0.056,20000,
Flow Foundation,0.056,20000,
Scroll,0.056,20000,
CoW DAO,0.056,10000,
Inco Network,0.056,10000,
Cartesi,0.056,10000,
Mantle,0.056,10000,
Rome Protocol,0.056,10000,
vlayer Labs,0.056,10000,
SKALE Network,0.028,20000,
Story,0.028,20000,
AirDAO,0.028,20000,
Gnosis Chain,0.028,10000,
Unlimit,0.028,5000,
Alchemy,0.028,5000,
DELV,0.028,4500,
Stackr,0.028,1000,
